stu,skill,crtRatio
889,9,1.0
1156,56,0.14285714285714285
36,63,0.7142857142857143
2811,43,1.0
633,61,1.0
2694,84,0.0
3260,60,1.0
474,50,0.6
161,105,0.8461538461538461
3307,56,0.6666666666666666
1063,91,0.0
63,32,1.0
1171,69,0.0
3292,26,0.8181818181818182
1487,118,0.6666666666666666
3065,122,0.8571428571428571
231,95,0.6666666666666666
2592,35,1.0
2384,95,0.14285714285714285
3203,9,0.8378378378378378
2073,64,0.6
3307,57,0.8888888888888888
1361,77,0.4444444444444444
2094,120,0.0
2309,88,0.0
3264,32,1.0
2001,35,1.0
269,37,1.0
495,8,0.0
371,116,0.5
155,85,0.75
30,78,0.5
2009,100,1.0
2575,35,1.0
2754,11,0.0
50,115,0.5
600,8,0.5
1300,66,1.0
1191,26,1.0
1531,2,1.0
2047,100,0.6
99,61,0.8571428571428571
2005,60,1.0
1261,86,0.42857142857142855
2558,35,1.0
3097,105,0.875
583,8,0.0
2331,32,0.3333333333333333
928,117,0.0
3214,77,0.0
1526,108,1.0
3315,81,0.8125
1538,23,0.3333333333333333
171,100,1.0
856,79,0.5714285714285714
1642,122,0.8
580,30,0.0
1239,34,0.6666666666666666
3318,2,1.0
332,61,0.6666666666666666
1506,100,1.0
134,62,1.0
889,2,0.8888888888888888
566,8,0.0
1279,26,1.0
3294,11,0.75
431,70,0.8709677419354839
492,2,0.8
154,100,1.0
3313,120,0.6923076923076923
267,19,0.3333333333333333
3310,113,0.5
477,63,0.8333333333333334
2396,32,0.25
966,61,0.8
940,61,1.0
3318,32,1.0
3302,77,0.75
340,26,0.875
357,56,0.75
1066,47,0.4
141,66,1.0
259,100,1.0
2060,93,1.0
117,119,0.6
248,57,1.0
97,38,0.5
3305,85,0.75
2269,34,0.0
465,63,0.7777777777777778
255,6,1.0
3293,113,0.5
449,96,0.0
3318,62,1.0
249,81,0.56
298,61,0.6666666666666666
3285,77,0.75
134,122,1.0
2071,32,1.0
262,101,0.8571428571428571
242,100,1.0
393,95,0.8571428571428571
614,62,0.8
3289,19,0.75
3262,20,0.8571428571428571
1488,68,1.0
2043,93,1.0
1065,91,0.8333333333333334
133,60,1.0
1480,32,1.0
3309,98,1.0
3328,43,0.8
456,100,0.5
253,101,0.7272727272727273
3301,62,1.0
258,61,0.8571428571428571
3305,17,0.75
3305,58,1.0
104,47,0.5
3328,30,0.7272727272727273
2613,53,1.0
1350,15,0.75
1582,13,0.0
103,26,1.0
249,57,0.5384615384615384
269,2,0.48148148148148145
55,9,0.36
2781,86,0.08333333333333333
435,47,1.0
3313,84,0.7391304347826086
27,1,0.3333333333333333
1358,122,1.0
2139,118,0.0
3129,47,0.6
3292,0,1.0
410,79,0.47619047619047616
74,32,0.9545454545454546
608,110,0.6
103,15,0.5
3294,7,0.6363636363636364
431,7,1.0
943,47,0.45
29,9,0.8
3012,105,0.6
2479,111,1.0
3277,3,0.5
1017,113,1.0
3324,56,0.8571428571428571
228,40,1.0
261,31,0.7419354838709677
2013,77,0.0
2261,31,1.0
993,122,0.75
92,1,0.0
3301,24,1.0
38,34,0.6666666666666666
1479,66,1.0
3285,110,1.0
326,66,1.0
2345,18,0.0
989,69,1.0
1556,79,0.5
2478,79,1.0
195,85,0.0
100,23,0.9
3258,84,0.5925925925925926
846,26,0.6
2146,34,1.0
2470,43,1.0
2940,31,1.0
2489,122,0.8
2004,9,0.75
1779,113,0.75
596,97,0.6666666666666666
3287,8,0.5384615384615384
2474,39,1.0
2461,79,1.0
1219,53,1.0
108,32,0.8333333333333334
87,50,1.0
3274,79,0.7857142857142857
2923,31,1.0
2764,20,0.6
640,95,0.8333333333333334
275,26,0.9090909090909091
753,61,1.0
196,120,1.0
2383,47,0.14285714285714285
725,0,0.5
1550,66,1.0
70,50,1.0
1418,97,0.0
264,71,0.7142857142857143
349,61,0.8571428571428571
2339,34,1.0
1519,32,0.7142857142857143
287,98,1.0
449,121,0.6666666666666666
2348,29,1.0
2481,48,1.0
1067,32,0.5
800,84,0.6
284,79,0.8125
284,120,1.0
2016,118,1.0
181,66,1.0
254,120,0.9090909090909091
150,74,0.9166666666666666
283,17,0.0
1546,38,0.18181818181818182
2862,30,0.42857142857142855
1506,97,0.0
1600,86,0.6078431372549019
161,58,1.0
178,88,1.0
2464,48,1.0
1654,9,1.0
1999,118,1.0
1638,106,0.1
752,88,1.0
3309,35,0.5
158,80,1.0
283,47,0.6875
1063,9,1.0
33,85,0.5
1618,47,0.5
1736,81,0.0
48,112,1.0
246,9,0.5
32,23,0.875
2776,74,0.75
3001,11,1.0
1015,95,0.14285714285714285
106,81,0.7142857142857143
158,110,1.0
396,100,1.0
171,69,0.8
1064,114,0.0
2366,9,0.14285714285714285
287,60,1.0
2427,41,1.0
157,48,1.0
979,70,0.7307692307692307
3312,79,0.9090909090909091
142,120,0.8461538461538461
263,69,0.75
2399,114,0.5
437,70,0.7605633802816901
1496,118,1.0
978,50,0.3333333333333333
1484,105,0.5
784,31,0.6666666666666666
136,71,0.5
2083,78,1.0
254,105,0.75
2864,74,0.75
2058,105,0.75
2284,117,0.0
2406,0,1.0
3296,37,0.0
3313,108,1.0
1526,9,0.8
258,6,0.5714285714285714
253,60,1.0
3273,57,0.46153846153846156
237,105,0.0
3279,105,0.85
178,34,0.6842105263157895
560,51,0.5
1518,107,0.8
820,26,0.9
1650,105,0.1111111111111111
128,65,0.0
2296,32,1.0
98,100,0.2222222222222222
148,26,0.8333333333333334
1329,31,0.8888888888888888
800,62,0.0
3296,108,1.0
220,105,0.125
334,69,0.5
252,28,1.0
2279,32,1.0
3319,25,1.0
1572,1,0.0
2,66,1.0
155,77,0.7894736842105263
3292,27,0.0
926,9,0.5454545454545454
234,113,0.4
1997,79,0.7142857142857143
447,81,0.0
3162,105,0.9
1475,32,0.8461538461538461
1504,11,1.0
328,113,0.375
1839,64,1.0
3309,113,0.38461538461538464
3323,8,0.8571428571428571
3309,61,0.6363636363636364
1481,94,0.06666666666666667
3275,27,0.0
3324,113,1.0
2251,78,0.6666666666666666
2154,23,0.4
3279,86,0.8461538461538461
2237,23,0.6
447,111,0.0
3312,7,1.0
2826,64,0.0
181,17,0.6
674,8,0.4
3283,92,0.75
295,82,0.15384615384615385
2052,18,1.0
179,57,0.25
240,116,1.0
3307,113,1.0
3295,7,1.0
555,119,0.0
164,17,0.6
3266,92,0.75
446,79,0.75
52,2,0.6666666666666666
165,86,0.509090909090909
3298,15,1.0
2138,31,0.5
3265,30,0.625
145,35,0.7692307692307693
1134,31,1.0
859,120,0.0
1474,7,1.0
3290,113,1.0
2007,91,0.75
157,2,0.9166666666666666
1785,105,0.4
3278,7,1.0
3295,37,1.0
970,106,0.75
425,9,0.0
429,79,0.0
543,43,0.0
753,88,0.5
3265,60,0.0
136,31,0.8888888888888888
1074,34,0.85
2779,30,0.0
64,91,0.0
3261,7,1.0
1622,38,0.6666666666666666
412,79,0.5
2014,112,1.0
3321,86,0.9285714285714286
51,57,0.0
2088,117,0.0
3279,25,0.8
254,101,0.8888888888888888
165,38,1.0
1567,64,0.5714285714285714
3286,120,0.5555555555555556
865,108,1.0
1313,9,1.0
181,6,1.0
2455,81,0.75
249,32,0.9090909090909091
865,97,0.0
1183,120,0.0
2904,30,0.4
2353,32,1.0
51,117,0.5
1496,122,0.76
823,32,0.9090909090909091
1221,29,1.0
1576,8,0.3333333333333333
2002,66,1.0
2120,100,1.0
3027,122,0.4
748,62,1.0
597,43,0.0
593,50,0.6666666666666666
1519,2,0.5
165,98,1.0
3114,61,1.0
848,97,0.0
1330,99,1.0
513,86,1.0
2336,32,1.0
3324,118,0.375
507,100,1.0
3283,56,0.8
2689,11,0.16666666666666666
919,81,0.6
371,61,0.875
61,115,0.8
264,112,1.0
496,69,0.25
3279,117,0.8888888888888888
807,118,0.5625
144,121,0.625
46,31,1.0
3287,23,0.6666666666666666
3329,119,0.6829268292682927
203,56,0.14285714285714285
244,63,0.5
3283,35,0.5882352941176471
362,97,0.5
1532,9,1.0
1526,23,1.0
1510,68,0.75
155,101,1.0
479,69,0.0
1276,61,1.0
2070,17,0.0
268,84,1.0
1167,21,1.0
254,43,0.5172413793103449
2300,99,0.0
316,62,0.6666666666666666
233,85,0.46153846153846156
2034,100,0.7142857142857143
143,89,0.5
345,97,0.125
2337,86,0.38095238095238093
2753,58,0.0
1515,9,1.0
2925,84,0.7692307692307693
3302,106,0.8235294117647058
1526,53,1.0
269,42,1.0
722,0,1.0
743,100,1.0
792,95,0.36363636363636365
2005,35,1.0
1243,106,0.0
2065,18,0.7777777777777778
3258,105,0.6428571428571429
2430,48,1.0
359,105,0.9
241,30,0.5238095238095238
2006,70,0.9230769230769231
166,34,0.8571428571428571
635,47,0.8
139,66,1.0
3310,99,1.0
365,78,1.0
152,25,0.8
708,8,1.0
2765,2,1.0
2874,43,1.0
3202,36,0.9
70,105,0.7333333333333333
134,37,1.0
1490,120,0.5
141,11,1.0
399,9,0.8
126,119,0.0
3265,85,0.6666666666666666
257,25,0.8
144,81,0.6363636363636364
148,70,0.7272727272727273
431,113,0.7142857142857143
1266,95,1.0
563,5,0.0
1188,113,0.3
2067,69,0.7857142857142857
1469,50,0.0
141,41,1.0
810,30,1.0
3323,65,1.0
286,34,0.6666666666666666
554,85,0.6
3313,71,0.6363636363636364
2945,100,0.0
97,13,0.0
138,85,0.5714285714285714
2040,43,0.125
2044,113,0.375
250,81,0.8
2484,111,0.5
2743,108,1.0
202,113,0.045454545454545456
919,100,1.0
1161,26,1.0
3314,101,1.0
512,47,0.8888888888888888
3306,65,1.0
1833,23,1.0
4,91,1.0
21,121,1.0
2135,91,0.0
101,26,1.0
1443,86,0.0
902,100,1.0
431,100,0.9411764705882353
1997,93,0.6
152,117,0.8888888888888888
1489,7,1.0
3306,95,1.0
2215,69,0.6
10,50,0.3333333333333333
2722,68,1.0
2581,105,0.0
2945,32,0.0
228,101,0.6923076923076923
250,43,0.5185185185185185
1520,15,0.14285714285714285
1551,105,0.15384615384615385
2861,74,1.0
2920,100,0.0
3280,101,1.0
92,91,1.0
133,43,0.9230769230769231
3009,34,0.46153846153846156
3285,25,1.0
1240,62,1.0
663,43,0.5
801,9,0.5555555555555556
160,111,0.75
1930,34,0.8333333333333334
267,43,0.4166666666666667
2337,31,0.75
2844,74,1.0
3276,61,1.0
800,111,0.3333333333333333
88,10,0.0
75,50,0.0
92,121,1.0
3268,25,1.0
3285,55,1.0
842,18,0.2
3279,69,1.0
2593,50,1.0
764,77,0.1875
2345,97,0.0
2292,91,0.7333333333333333
335,79,0.4
187,120,0.056338028169014086
83,23,1.0
2013,93,1.0
194,113,0.8
666,122,1.0
3259,61,1.0
3276,91,1.0
1652,30,0.0
298,85,0.0
297,22,0.0
147,50,0.6666666666666666
863,91,0.125
2001,122,1.0
155,86,0.8888888888888888
3267,9,0.8333333333333334
415,57,0.0
2932,74,1.0
95,31,1.0
166,88,0.7142857142857143
2575,122,1.0
649,122,1.0
18,2,0.6666666666666666
1514,117,0.2222222222222222
1317,8,0.0
846,91,0.375
3258,29,1.0
344,61,0.8888888888888888
433,91,0.8
754,122,1.0
62,117,1.0
2337,34,1.0
71,70,0.0
842,51,0.0
178,30,0.8666666666666667
2810,30,1.0
737,122,1.0
3306,47,0.9090909090909091
61,31,1.0
1375,105,0.2
1733,86,0.75
447,32,0.8571428571428571
2563,35,0.75
1486,105,0.6666666666666666
2788,106,1.0
825,51,0.875
284,65,1.0
593,112,0.7142857142857143
392,43,1.0
1190,69,0.5
2004,91,1.0
2328,100,1.0
402,100,1.0
352,85,0.0
3284,120,0.8888888888888888
2081,105,0.75
284,95,1.0
294,47,0.8
251,110,0.5
230,87,0.6666666666666666
1173,69,0.75
135,86,0.8484848484848485
2436,108,1.0
100,61,0.2
421,32,0.7272727272727273
2893,2,1.0
428,26,0.6666666666666666
3318,108,0.75
33,30,0.5
895,9,0.3142857142857143
3327,102,0.0
162,21,1.0
149,61,1.0
263,25,1.0
2319,32,1.0
267,95,1.0
490,100,1.0
40,21,1.0
463,32,0.7142857142857143
1756,105,1.0
2419,108,1.0
2661,34,1.0
2882,81,0.0
1064,100,1.0
39,93,1.0
2756,11,0.0
27,115,1.0
145,21,1.0
2772,20,1.0
247,100,0.625
164,88,0.8571428571428571
154,15,1.0
720,84,1.0
1626,11,0.8333333333333334
3313,23,1.0
1484,91,1.0
258,43,0.5833333333333334
2341,106,0.7272727272727273
146,113,1.0
237,20,0.0
254,91,1.0
355,95,1.0
1000,61,0.42857142857142855
128,21,1.0
132,91,1.0
246,55,1.0
257,99,1.0
2060,51,0.9
137,15,1.0
1512,60,1.0
2032,18,0.42857142857142855
2309,11,1.0
925,26,1.0
3281,61,0.7142857142857143
3296,23,1.0
3313,53,1.0
3297,98,0.75
136,87,1.0
3322,63,0.8333333333333334
3329,21,1.0
145,81,1.0
2414,11,1.0
2431,41,1.0
808,84,1.0
926,77,0.0
465,34,0.7619047619047619
3272,97,0.7142857142857143
19,11,1.0
284,35,0.5882352941176471
245,23,1.0
686,84,1.0
1140,117,0.0
3301,111,1.0
3270,97,0.45454545454545453
172,70,0.6666666666666666
132,23,1.0
255,3,0.5714285714285714
907,86,0.6923076923076923
3292,13,1.0
1137,115,0.5454545454545454
3201,52,0.6363636363636364
187,97,0.058823529411764705
237,23,1.0
2504,105,0.4
2690,77,0.09090909090909091
420,0,0.7142857142857143
132,53,1.0
192,57,0.05555555555555555
240,31,1.0
2252,9,0.75
439,44,0.75
353,56,0.48
2502,41,1.0
2470,119,0.75
37,65,0.6666666666666666
3283,37,0.75
212,47,0.3815789473684211
2377,34,1.0
1805,113,1.0
564,28,0.0
2361,79,0.5
2068,120,0.7272727272727273
2152,9,0.8
992,86,0.5652173913043478
141,106,0.8
1135,62,1.0
810,8,0.3333333333333333
146,1,0.6666666666666666
3266,37,0.75
3283,108,1.0
1105,85,0.0
2134,34,0.0
564,99,1.0
142,66,0.8888888888888888
186,6,0.5
158,9,0.6666666666666666
1550,8,0.5
2142,100,0.5
437,101,1.0
3263,60,0.75
1466,50,1.0
1235,34,1.0
95,23,0.8461538461538461
3266,108,1.0
328,61,1.0
2117,34,0.25
2578,29,0.5
446,95,1.0
2938,30,1.0
3326,65,0.6666666666666666
431,115,0.8
164,86,0.7368421052631579
266,17,0.6666666666666666
3291,86,0.9583333333333334
365,79,0.8181818181818182
1117,47,0.3333333333333333
308,53,1.0
60,100,0.9375
2125,100,0.0
1489,97,0.6666666666666666
2349,79,0.8
3275,108,0.8
1015,86,0.48
3024,43,0.0
429,95,1.0
964,95,0.75
3287,110,1.0
2014,57,1.0
51,2,0.75
303,25,1.0
1496,47,0.6666666666666666
448,34,0.8571428571428571
1328,38,1.0
138,34,0.8181818181818182
3145,85,0.0
3286,48,1.0
1558,120,1.0
2137,15,1.0
43,100,0.875
858,63,0.5
1180,27,0.0
81,9,1.0
284,92,0.5
3266,40,1.0
3321,43,0.6153846153846154
3265,122,0.5833333333333334
1210,34,1.0
2213,100,0.5
844,47,0.9090909090909091
2351,31,1.0
2006,51,1.0
2725,68,0.6666666666666666
1994,79,1.0
189,47,0.3953488372093023
2468,3,1.0
267,92,0.75
1496,30,0.25
3009,47,0.5555555555555556
1063,115,0.0
2002,11,1.0
160,119,1.0
2459,39,1.0
853,112,1.0
447,1,0.2
3322,118,0.625
1212,27,0.3333333333333333
132,58,0.75
84,121,0.6111111111111112
282,31,0.8333333333333334
153,71,1.0
1625,9,0.4375
2439,31,1.0
3320,74,0.9090909090909091
147,85,1.0
152,9,1.0
2211,23,1.0
284,97,0.8666666666666667
1649,30,1.0
2074,43,1.0
2091,32,0.5
3285,81,0.7058823529411765
1070,2,1.0
844,2,0.75
149,74,0.9
153,101,1.0
261,38,0.5
85,82,0.7
1474,4,0.6666666666666666
2179,2,0.875
508,63,1.0
710,30,0.5
264,87,1.0
2942,43,0.42857142857142855
2074,32,0.625
251,17,0.7142857142857143
477,50,0.45454545454545453
34,34,1.0
875,112,0.6190476190476191
924,71,0.0
176,118,0.1111111111111111
2406,106,0.75
1078,97,1.0
2251,84,0.8181818181818182
141,119,0.7931034482758621
184,56,0.47058823529411764
251,117,0.5161290322580645
2297,66,0.0
2503,41,0.0
3323,118,0.6176470588235294
35,114,0.5555555555555556
2432,105,0.6363636363636364
1624,40,0.8333333333333334
1011,112,0.7142857142857143
3308,57,0.5
458,50,0.4444444444444444
579,120,0.0
260,23,1.0
798,30,0.75
2612,111,0.5
1025,105,0.0
147,47,1.0
474,63,1.0
36,114,0.8
139,11,1.0
3320,100,1.0
3308,87,0.75
68,31,0.9090909090909091
638,61,0.3
2267,32,0.0
267,26,0.8
470,23,1.0
178,25,0.6666666666666666
252,105,0.7317073170731707
1834,25,1.0
182,95,0.6666666666666666
3320,2,1.0
2051,100,0.2857142857142857
303,110,0.6
3308,117,0.75
568,8,0.0
13,117,0.5
1134,77,0.0
3315,34,0.9333333333333333
179,117,0.6666666666666666
227,11,1.0
662,8,0.6
247,48,1.0
1687,105,0.75
169,47,0.2
2,114,0.8
3315,108,1.0
137,50,0.8
385,84,0.8571428571428571
2356,95,0.75
2360,95,0.7142857142857143
456,31,1.0
2064,9,1.0
3266,24,0.6666666666666666
238,84,1.0
1473,8,1.0
886,61,0.6875
1591,1,0.0
194,56,0.75
230,48,1.0
436,23,1.0
3294,38,1.0
1482,2,1.0
60,51,0.6666666666666666
2130,9,0.07142857142857142
257,32,0.8888888888888888
2061,30,0.8
1860,86,0.47058823529411764
2658,47,0.6428571428571429
3310,6,1.0
3270,47,0.5
909,81,0.6363636363636364
2047,9,1.0
2740,105,1.0
850,47,0.5151515151515151
2006,122,0.75
436,53,1.0
1066,115,0.6
3277,38,1.0
2350,34,0.0
1133,31,0.4
2371,47,1.0
1238,62,1.0
3293,6,1.0
3258,77,0.8076923076923077
840,31,0.6666666666666666
487,32,0.7
2438,81,0.6666666666666666
2945,64,0.5833333333333334
3294,98,1.0
3261,113,0.0
1929,34,1.0
1132,26,0.8095238095238095
249,47,0.6071428571428571
3276,6,1.0
105,26,1.0
1788,113,1.0
1427,86,0.76
299,116,0.25
137,120,0.8181818181818182
1440,113,0.0
3277,98,1.0
3267,42,1.0
2010,31,1.0
166,118,0.5333333333333333
1220,29,1.0
88,26,1.0
3319,84,0.9285714285714286
869,63,1.0
2810,43,1.0
49,61,0.7142857142857143
91,34,1.0
486,47,0.9090909090909091
3273,58,1.0
253,57,0.6666666666666666
3025,105,0.75
2010,61,1.0
79,62,1.0
180,25,0.75
180,66,1.0
763,31,1.0
144,17,0.6666666666666666
3301,86,0.717391304347826
1329,100,1.0
1581,30,0.5714285714285714
3130,105,0.75
3258,108,1.0
172,31,1.0
550,31,0.5714285714285714
935,112,0.6
2000,34,1.0
2324,2,0.0
34,77,0.4444444444444444
2048,93,0.6666666666666666
763,77,0.8333333333333334
645,27,1.0
1308,30,1.0
1184,97,0.0
2001,114,0.5555555555555556
54,26,1.0
751,89,1.0
1997,57,1.0
269,88,0.75
2307,2,0.0
268,26,0.875
79,122,1.0
969,114,0.4
2172,63,0.42857142857142855
2527,105,0.6666666666666666
2337,9,1.0
2331,23,1.0
81,31,0.8571428571428571
2348,53,1.0
3308,8,0.6666666666666666
2056,112,0.875
863,39,1.0
2355,26,0.8
450,86,0.5217391304347826
3301,37,0.6
822,18,0.75
1506,121,0.5
420,19,0.7272727272727273
174,113,0.3333333333333333
166,6,1.0
284,40,1.0
2495,122,0.6
3326,89,0.0
142,15,0.75
2230,78,1.0
2893,81,1.0
3011,115,1.0
839,34,0.9
1258,105,0.5
713,8,0.5
599,85,1.0
1903,34,0.9230769230769231
2529,21,1.0
2266,31,0.6666666666666666
3271,47,0.7
3323,111,0.75
1602,23,0.5
32,88,1.0
356,56,0.5
251,85,0.75
2760,50,0.0
150,37,0.4
2425,39,1.0
153,19,0.3333333333333333
2991,108,1.0
319,62,0.6
103,31,0.6
163,58,1.0
254,6,1.0
2424,111,1.0
696,8,0.0
599,115,1.0
1091,9,0.4473684210526316
1555,120,0.2
3292,119,0.7142857142857143
3322,66,1.0
3306,111,0.75
1494,75,0.0
31,2,1.0
3317,62,1.0
227,8,0.5
68,42,0.8888888888888888
3315,105,0.75
36,60,1.0
179,105,0.88
137,64,1.0
720,29,1.0
2274,50,0.0
1064,91,0.8333333333333334
3326,105,0.9
1278,61,1.0
84,38,0.6666666666666666
1403,69,1.0
146,58,1.0
136,2,1.0
3100,61,0.5555555555555556
679,8,0.0
3318,26,1.0
3322,96,1.0
1517,34,1.0
3317,92,1.0
2075,66,1.0
3321,34,1.0
133,24,1.0
3280,13,0.5
3287,119,0.6410256410256411
136,32,1.0
254,66,1.0
103,47,0.75
179,81,0.42857142857142855
3301,26,1.0
3318,56,1.0
2723,72,0.0
1500,34,1.0
3329,100,1.0
14,32,1.0
2303,47,0.5714285714285714
2058,66,1.0
2382,34,0.75
2366,120,0.0
3277,35,0.25
300,63,0.7142857142857143
251,88,1.0
2727,68,0.25
75,47,0.975
1643,23,0.7
2217,34,0.7333333333333333
3293,3,0.5
2032,84,0.6923076923076923
138,111,0.8
816,95,1.0
560,105,0.5
1136,9,1.0
3268,81,0.8235294117647058
1572,66,1.0
15,50,1.0
99,24,1.0
300,93,0.7142857142857143
2057,34,1.0
552,70,0.6875
460,100,1.0
3292,92,1.0
3309,122,1.0
2034,18,1.0
1565,105,0.625
334,30,1.0
1240,34,0.75
451,95,0.75
3300,24,1.0
3302,8,0.5454545454545454
2042,43,0.5
2,120,1.0
3309,34,0.8333333333333334
2056,106,0.8
548,30,0.0
865,61,0.42857142857142855
460,2,1.0
2142,26,1.0
264,101,0.8571428571428571
158,69,0.7
342,113,0.5555555555555556
3142,61,0.5
3174,117,1.0
556,112,1.0
3271,11,0.0
1556,43,0.5
268,81,0.6666666666666666
1571,64,1.0
2034,78,1.0
2135,47,0.5454545454545454
3283,53,1.0
1012,61,0.7037037037037037
849,50,0.42857142857142855
474,34,0.8181818181818182
434,38,1.0
3275,34,0.8333333333333334
758,47,1.0
1488,2,0.5882352941176471
2930,43,1.0
2017,78,1.0
443,32,1.0
3311,35,0.38095238095238093
317,96,1.0
581,120,0.5833333333333334
449,11,0.8571428571428571
560,4,1.0
1278,26,0.7
2369,32,0.8
1514,108,0.6666666666666666
2029,86,1.0
426,32,1.0
2794,34,0.0
744,14,0.5
3291,21,1.0
3315,91,0.6470588235294118
3306,2,0.9166666666666666
883,61,1.0
249,107,0.7
850,117,1.0
1333,11,0.8
1722,105,0.6
3201,48,0.8571428571428571
848,112,0.47368421052631576
3326,40,0.6666666666666666
349,57,0.42857142857142855
663,81,0.8571428571428571
2335,32,1.0
2327,114,0.5
509,34,0.9333333333333333
3274,21,1.0
3315,106,0.8823529411764706
841,112,0.75
1363,86,0.14285714285714285
1622,15,0.875
267,7,0.875
866,61,1.0
991,69,1.0
1303,64,0.0
255,35,0.5
263,81,0.8235294117647058
3314,69,0.8888888888888888
1404,69,0.5
362,57,0.36363636363636365
2058,17,0.6
824,112,0.75
165,92,1.0
1541,122,0.8666666666666667
149,3,0.5
3213,9,0.19047619047619047
3266,31,0.8333333333333334
2792,91,1.0
3325,85,0.6
3266,15,1.0
1071,3,1.0
193,120,0.0743801652892562
288,50,1.0
154,61,0.0
2355,43,0.3333333333333333
502,113,0.5714285714285714
165,122,1.0
3266,61,0.8333333333333334
348,120,0.47368421052631576
1492,69,0.0
164,60,1.0
137,61,0.9375
148,105,0.0
173,70,0.8333333333333334
39,106,1.0
3280,98,0.6666666666666666
731,86,1.0
1068,55,1.0
2035,113,0.42857142857142855
1489,91,0.75
43,48,1.0
3276,77,0.7096774193548387
27,93,0.75
618,110,1.0
1068,43,0.7777777777777778
847,100,0.8
3304,1,0.5
1567,8,0.2
147,60,1.0
131,105,0.5
2044,117,0.3076923076923077
2140,105,0.7
1547,30,0.8571428571428571
125,119,0.5
390,95,0.8571428571428571
1281,9,1.0
1168,120,0.0
2321,2,1.0
2305,47,0.75
459,85,0.0
228,69,0.875
735,112,1.0
163,119,0.6363636363636364
3312,96,0.5
3289,86,0.7142857142857143
1504,43,1.0
140,42,1.0
357,47,0.7352941176470589
2268,9,0.625
3308,2,0.75
250,56,0.8333333333333334
132,6,1.0
3319,87,1.0
3262,106,0.7692307692307693
34,9,1.0
3324,11,1.0
3292,89,0.0
3328,81,1.0
1282,26,0.8
1138,86,0.75
2053,112,1.0
29,115,1.0
264,35,0.3333333333333333
787,120,0.15625
823,112,1.0
589,64,1.0
30,121,0.3333333333333333
2056,120,1.0
110,95,0.0
3309,105,0.9
2043,114,0.7857142857142857
1137,41,1.0
2904,74,0.7
23,1,0.8
1487,73,1.0
1480,64,0.5454545454545454
107,117,0.0
739,86,0.9230769230769231
1810,113,0.0
950,105,0.4117647058823529
1525,2,0.14285714285714285
539,79,0.0
2157,26,1.0
3324,71,1.0
455,61,0.65
246,35,0.8
329,35,0.0
3292,105,0.65
1790,105,0.0
102,95,0.75
59,32,0.42857142857142855
131,9,0.8
1146,81,0.8333333333333334
2392,32,1.0
3324,88,0.5555555555555556
1923,32,1.0
94,100,1.0
1602,31,1.0
420,57,0.6
339,34,1.0
554,2,1.0
910,26,1.0
2349,47,0.45454545454545453
3278,69,1.0
894,112,1.0
441,26,1.0
3190,11,0.8333333333333334
1999,117,0.75
1582,23,1.0
228,26,0.8461538461538461
562,68,1.0
1015,26,1.0
760,99,0.0
283,30,0.6666666666666666
2330,47,0.4444444444444444
424,26,1.0
254,77,0.7096774193548387
2694,31,0.0
3290,88,0.5555555555555556
255,91,0.8888888888888888
2014,40,1.0
282,1,0.5
202,97,0.0
965,85,0.6
423,26,0.6363636363636364
