stu,cluster
182,26
2497,2
1368,2
1133,19
1502,2
715,31
2414,4
2467,10
111,2
2056,30
1847,36
3271,33
2531,31
28,4
1766,48
1208,49
1941,49
2782,21
2710,2
2938,9
152,39
749,29
3325,40
1453,2
324,2
2941,14
840,4
228,34
657,31
1159,49
3185,2
1163,19
1666,2
1509,18
487,1
1971,49
3016,49
445,4
1349,2
2528,2
1071,57
2883,50
2667,17
403,43
805,23
1839,14
1535,48
305,2
2553,31
2962,50
2659,49
197,23
1350,2
1759,21
54,11
1088,2
1443,50
314,50
502,21
1698,11
3166,2
1227,17
661,14
2558,2
2162,2
2067,30
1167,2
34,38
1900,2
717,31
1710,21
2997,49
988,36
1295,44
194,26
2717,31
2509,2
1380,2
668,31
164,3
3210,49
1505,2
48,57
114,2
155,40
334,42
375,43
2534,31
1588,36
2157,44
2594,45
3278,40
935,2
700,19
2765,49
2033,14
45,24
2539,2
1148,2
202,7
1691,21
3188,2
349,26
1931,2
2286,50
2332,17
413,47
1169,61
2846,9
866,23
256,63
490,1
2105,11
3285,56
2503,20
2135,2
2040,30
3026,61
106,11
809,19
2575,45
3218,2
406,43
2223,2
2788,9
1961,2
1699,2
631,18
2443,11
2925,14
2662,49
273,44
1052,11
1446,50
196,26
2773,2
2960,8
444,11
530,51
729,31
125,2
2165,2
1861,36
1170,2
237,63
471,1
908,2
1222,49
1955,49
249,37
1214,45
41,8
825,4
429,4
2355,19
2818,9
3120,2
1541,31
2640,2
2955,14
2774,2
2378,2
1383,2
1121,2
671,31
1750,61
3199,2
2473,10
2297,50
551,2
2195,2
2537,31
1200,2
2684,50
3126,17
1334,2
938,2
1649,14
3161,23
212,47
1901,49
593,4
2813,51
2424,10
2804,2
2932,8
1413,2
2051,30
1359,31
112,45
1884,2
2111,44
1694,21
1538,2
2248,49
1986,49
2359,2
3311,40
1773,21
2097,2
1102,2
1853,50
2108,11
283,48
652,31
2798,49
2829,36
1533,45
2572,2
2800,9
1638,61
3221,2
731,31
2361,47
884,44
1863,36
1568,2
1882,49
177,2
102,8
2237,17
208,26
827,4
846,17
2457,20
2354,44
3038,2
2092,44
3172,2
313,48
1306,38
2974,17
2,6
2484,10
2712,17
732,31
3102,23
524,2
128,2
3301,3
1153,61
2602,2
1837,19
2220,49
1406,61
3251,2
1754,21
1217,45
2002,6
2317,18
2727,2
1598,2
2189,61
329,28
1732,2
603,2
1336,2
2267,17
2487,20
3144,61
1157,36
2122,44
3202,2
363,26
1811,2
1274,63
762,31
1514,44
2209,48
469,43
51,24
599,9
2411,2
2054,30
1845,36
3133,23
348,18
1697,21
455,1
864,20
1206,49
3232,2
244,46
1175,61
1335,50
2624,2
1282,44
2152,43
1233,2
1776,21
971,2
1105,2
2406,45
1902,17
655,31
2179,2
2803,9
2144,44
734,31
485,1
765,18
839,4
1885,49
1575,9
943,61
211,26
2004,6
1397,2
3041,2
685,31
536,51
1784,2
916,43
708,14
527,2
2916,7
2833,9
457,23
477,1
309,45
3254,2
952,2
1589,28
929,18
1735,2
479,47
2438,10
61,59
2270,17
659,14
2034,6
2556,2
3005,57
3071,2
3205,2
1708,21
566,51
1008,18
472,44
3135,23
282,63
2863,9
2212,48
2600,44
506,36
2338,44
2760,2
1369,2
2468,10
716,31
882,63
1848,36
2057,30
2592,45
3235,2
1570,28
2240,2
3200,44
325,2
290,44
974,2
93,24
1341,61
3186,2
2849,51
233,4
547,51
756,45
1289,50
1,26
2578,2
2844,9
1187,2
1730,21
488,1
2118,17
1554,61
2016,6
2706,44
2657,2
2006,41
946,61
2791,2
548,51
1400,2
1004,2
1809,21
104,11
1923,43
2038,30
2501,20
688,31
2573,45
3117,23
3216,2
1496,55
2576,50
20,17
1025,61
1132,44
2963,50
2346,2
2264,49
1351,2
3317,53
2559,2
1430,2
1034,2
570,47
129,45
362,18
799,19
2163,2
718,31
1711,21
3208,2
447,62
2352,17
2184,61
2081,48
2866,9
2953,14
195,26
1475,9
1381,2
1622,28
1736,50
723,2
1768,2
2082,49
3297,52
94,59
255,13
1851,36
2193,2
2589,2
32,4
2817,9
1198,2
802,2
3238,2
936,2
1204,45
1291,50
779,18
1899,49
3028,49
46,24
2017,41
225,26
1619,31
1411,2
1357,31
2686,19
1149,2
2068,6
2109,44
3055,2
3189,2
2194,2
3119,23
2333,17
541,2
259,24
2619,2
2847,9
1242,49
597,19
2368,11
2408,47
2019,6
2744,2
2931,8
620,2
1353,2
493,47
2284,17
2398,2
2504,20
1530,43
3019,57
1636,61
3219,2
37,32
580,51
714,51
2713,50
2363,17
2877,9
2455,20
635,23
958,2
2961,8
3020,57
1375,61
911,43
730,31
2146,24
2166,2
896,63
1037,2
1862,36
1171,2
2218,49
271,11
1968,17
2083,4
3150,23
3249,2
3014,19
2254,2
1992,2
2187,61
601,2
1352,50
2641,2
3037,2
2956,14
786,47
1384,2
1793,21
1739,50
2181,17
3101,23
2128,11
1596,1
1951,49
2736,10
246,39
1480,55
339,1
903,43
2474,10
3062,31
3116,2
2854,2
1512,44
1463,2
2196,2
1201,2
2207,11
1744,21
1245,45
3067,2
2671,2
2899,9
2409,2
1018,2
1360,31
338,14
702,31
1801,2
3321,3
2622,2
2226,2
870,23
2850,9
1237,45
3283,13
934,44
812,18
1154,47
1932,49
1252,61
1063,45
2507,20
364,7
679,19
584,47
994,31
1182,2
8,0
1639,61
436,32
2236,51
2322,11
2227,2
1831,2
3222,2
3233,11
648,31
1883,49
782,31
292,24
2711,51
209,26
618,45
1395,2
3039,2
1782,2
371,24
995,31
2485,10
108,59
733,31
706,14
914,43
3103,23
1865,36
2831,9
3252,2
1218,45
2257,2
793,18
1599,2
1913,49
927,18
604,2
2910,9
877,17
345,7
3104,23
660,19
3289,5
2208,2
1006,18
763,31
1119,44
2890,36
2861,9
504,36
3282,2
470,43
1382,45
1905,49
3004,57
797,29
634,2
2674,2
600,9
1283,2
1417,2
1846,36
3134,23
865,20
515,50
3198,44
424,48
861,49
585,2
2491,2
2625,2
2571,31
1777,21
972,2
1935,49
1651,61
1074,49
3100,2
368,9
1259,31
2180,2
587,47
997,31
2453,11
1016,44
2977,17
1028,18
1886,49
2917,2
1366,50
2005,6
2601,31
412,51
1660,2
2789,2
1398,2
1807,21
1965,49
1671,17
2099,49
1494,55
790,2
917,43
1313,43
2320,17
3266,12
2418,31
2834,9
712,19
940,63
3255,2
1758,21
1221,45
2260,2
1058,18
1864,2
796,18
178,5
473,2
1916,49
607,2
1036,36
2685,2
3006,57
622,18
1177,11
1009,18
2864,9
508,1
899,2
1946,49
637,2
771,2
92,59
3277,34
218,18
3137,23
1458,2
450,32
1202,45
1676,44
1655,21
777,18
1947,49
1780,21
852,48
1650,28
3053,2
978,7
1662,2
2547,50
801,2
2893,49
1875,2
1889,49
3109,18
1631,50
1624,11
2972,49
1663,2
1609,31
3307,39
1401,2
3118,23
2102,49
920,43
2737,2
1026,61
2871,2
400,44
1407,18
224,47
2820,36
149,53
518,36
1761,21
1919,49
3281,22
65,59
36,32
1693,2
625,18
894,63
1035,2
1431,2
1483,49
556,4
1180,11
1012,18
3212,44
1452,61
438,48
42,48
491,23
1644,2
1476,9
2984,36
2399,20
829,18
1949,49
95,59
423,4
1470,51
160,39
557,4
2718,2
3060,31
696,19
2649,51
1199,2
264,16
1042,18
665,31
780,18
2551,10
591,2
2763,9
2300,19
226,26
331,42
1620,31
1412,2
874,61
3056,2
1421,50
804,2
2882,2
553,11
2848,9
1686,61
2536,2
1688,21
1152,47
3310,39
410,47
2268,44
3302,35
402,43
3086,2
319,45
3220,2
2225,2
1023,18
627,18
1096,2
646,31
1829,2
572,2
811,18
361,47
2125,0
3272,48
278,49
3284,22
1646,2
2986,36
1517,0
39,32
1729,36
628,18
1038,2
574,47
2440,11
3151,23
1049,11
2255,2
468,2
602,2
2642,2
1513,2
1627,24
841,18
2653,11
2987,36
343,7
383,43
2182,17
3303,13
2721,2
1264,57
2855,2
1464,2
2395,17
2018,30
1045,18
836,24
2124,48
1747,61
1903,49
3265,22
525,19
243,4
357,26
1068,38
2672,2
2900,9
2410,2
1415,2
4,24
3132,23
2413,7
24,2
1982,49
411,2
2079,18
1629,47
2623,2
1098,2
2048,30
2277,2
1577,36
813,18
1933,49
2329,49
227,37
1253,61
2836,2
2271,44
1257,31
2451,11
2242,17
2490,2
1630,47
1099,2
649,31
441,2
2358,48
2795,49
2569,2
2515,31
520,2
1963,49
2976,17
996,31
49,8
915,43
2759,19
3128,2
175,4
26,24
1998,6
2313,18
2520,2
3253,2
1056,18
2176,49
867,2
794,18
2269,11
2397,17
605,2
2911,9
1254,2
1964,49
30,30
2876,51
137,13
3070,2
75,38
303,45
577,19
1679,2
711,19
684,2
1007,18
1080,2
1435,50
1813,2
2086,11
2724,2
3066,31
64,28
2432,10
2568,20
76,2
2211,11
136,53
505,36
2550,2
2778,9
2127,48
2288,2
897,2
474,48
2675,2
1680,2
289,2
7,24
939,4
1567,61
1110,2
2754,2
2888,2
418,9
1497,2
501,43
2177,26
452,1
1936,49
2586,45
2913,31
242,48
2705,2
3047,31
307,28
1314,2
2454,11
588,47
998,31
2245,17
1029,18
3180,2
2522,2
1527,2
1661,2
532,2
1607,31
1808,21
397,43
2256,31
2617,10
1966,49
193,47
2325,18
272,48
3077,31
2681,31
2869,2
1082,2
3108,18
60,48
2032,30
2469,31
2838,14
682,31
1917,49
1017,21
1834,14
1268,48
140,13
2340,2
78,38
1083,2
687,2
1712,61
2993,9
3094,61
59,61
1508,2
2499,31
2291,2
900,2
1633,2
638,2
2178,61
1287,2
10,24
1290,44
189,26
1113,2
663,31
1595,11
97,28
466,11
2465,10
1948,49
150,40
2583,2
181,27
507,48
695,19
2970,2
2939,51
3328,12
1066,11
2373,48
2272,2
1138,36
1143,2
3183,2
693,31
881,2
1632,50
408,47
1165,26
1320,49
56,4
317,45
1551,61
1685,61
1731,28
3080,31
1743,2
1347,2
2749,11
667,14
2035,30
2510,31
2570,45
3085,2
1956,2
3003,49
1525,44
1263,44
3149,23
81,38
819,4
1529,51
1643,36
191,26
2506,2
954,48
1511,2
1115,2
724,31
1645,2
120,2
2160,2
2065,30
1856,36
830,18
89,14
2981,2
820,4
2719,2
758,29
1328,2
154,0
2479,20
1116,2
2375,48
2764,9
1118,48
3286,5
2532,31
2430,20
1980,49
785,24
1422,50
1677,11
2419,10
2942,51
2015,6
2927,8
2046,30
2643,20
3280,46
1073,18
2676,17
1689,21
1258,63
2928,9
1981,49
1510,55
1958,2
320,45
2460,20
2488,2
1097,2
1043,31
647,31
449,46
1370,17
2072,23
2567,2
2171,2
2513,31
1719,21
2094,47
757,18
1266,44
1996,6
822,4
1050,11
2975,61
2518,2
1127,2
2771,2
496,19
3097,23
1304,43
519,2
123,2
269,56
384,43
1859,36
2543,31
40,4
563,45
1797,61
301,45
1516,48
944,2
1212,45
1997,6
1273,61
427,4
1137,51
1433,50
1989,2
1539,31
1727,2
1331,2
2312,18
2722,2
1465,2
336,2
1296,44
2262,17
1300,14
3197,2
263,54
1544,2
2295,50
1678,2
549,2
1467,47
3279,40
2224,26
217,23
1647,14
3148,2
2979,44
2886,2
1361,2
1495,2
1506,11
2540,2
1840,36
1934,49
3287,53
145,39
157,13
2934,14
2753,2
1015,44
2463,20
2095,2
1100,2
2106,11
650,31
3178,2
539,51
1303,38
2884,49
5,0
1722,21
480,1
1231,49
17,11
2110,17
2319,11
2089,43
1880,49
1995,36
919,48
1999,6
2521,2
1392,2
1057,18
365,19
1130,2
680,31
1927,17
2136,11
2389,48
2482,10
1832,14
703,14
126,2
240,24
347,7
2546,31
2693,50
304,45
1752,21
947,2
1584,28
1081,2
221,47
1436,50
2725,2
2433,10
3000,57
2155,2
2382,44
1160,2
764,2
710,31
898,2
876,63
1842,36
2298,50
1285,2
1181,61
1087,17
2858,9
3320,40
1111,2
2755,2
1162,47
1760,2
2283,43
122,45
1498,2
369,2
87,24
503,2
589,42
335,9
1843,36
1447,36
821,19
16,0
2587,45
2330,11
1196,45
2235,2
893,44
2914,31
1315,2
1333,50
1280,44
2466,20
432,63
101,43
3181,2
2785,2
342,26
542,51
1394,2
795,2
1528,2
741,31
1474,31
533,2
110,48
2887,49
2839,9
483,1
2011,6
837,4
1741,2
1345,2
941,61
2390,2
2704,49
1322,18
999,2
3112,23
2663,17
3211,2
399,43
3176,44
2341,2
79,38
1641,36
1346,2
950,2
1755,21
2393,49
565,11
2028,36
2994,9
2436,10
2959,51
2158,2
888,63
2063,30
1477,49
1706,21
464,1
1215,49
1792,61
1207,45
2811,9
167,43
1184,61
2633,2
2767,2
3323,40
1376,2
1785,21
1114,2
2716,36
664,31
957,18
1763,2
2077,49
330,42
2584,2
3316,37
2530,31
1193,2
456,1
3274,40
743,31
2071,11
774,18
1894,49
1318,2
2720,11
1014,36
323,2
3318,39
2013,6
2535,2
72,11
3050,2
2150,11
3184,2
1687,21
987,18
3114,23
443,40
2328,17
1979,49
2614,2
2842,9
862,23
486,1
318,45
961,2
926,44
2739,2
2133,43
615,2
1348,2
2070,23
2707,49
2822,36
2396,44
1174,2
409,19
1717,21
1549,28
2219,2
575,51
1823,2
828,2
3305,40
21,59
2921,14
1048,11
2973,61
953,2
3031,2
2031,36
2036,2
2351,14
2769,2
1774,2
640,36
3095,23
2477,10
725,31
2309,17
121,2
2161,2
300,4
2066,30
360,18
1166,2
3244,2
1210,45
2310,18
759,29
2636,2
2770,2
2292,49
1674,36
1788,21
2480,20
3096,23
2826,19
3195,2
1804,2
44,19
755,31
1373,44
378,44
2533,31
2336,11
1248,49
1571,28
851,4
1897,49
2593,18
2666,2
2404,2
2746,31
1617,31
1818,21
1013,2
341,18
1147,2
1461,49
697,31
1690,21
2825,31
2221,2
2845,9
1226,2
321,45
1769,21
1555,61
2251,30
1309,36
241,52
1067,14
1522,0
1439,2
989,31
3217,2
727,31
1720,21
1020,18
1826,2
1564,2
1878,49
267,46
2087,43
569,2
2924,14
2647,2
2875,9
2661,49
204,26
613,45
823,4
842,17
2968,57
1390,2
1799,21
1128,2
2134,11
2772,2
3098,23
909,43
728,31
124,2
1726,36
2069,30
2598,2
1771,44
3247,2
1582,28
2985,2
2117,43
1908,49
807,31
1540,31
2734,11
2431,10
337,2
2954,14
2483,20
2870,51
2998,57
3300,13
1434,49
1749,61
2802,2
2203,2
1001,18
3209,11
416,2
381,44
2590,2
1085,17
2856,9
385,14
499,36
1232,36
465,43
2940,8
367,2
709,31
1507,11
1547,47
1593,14
210,18
1358,31
1841,36
344,18
1150,2
2050,30
2156,11
2585,45
3228,2
2832,2
2824,61
769,18
219,23
419,48
2620,2
3269,39
1772,21
2369,11
2581,47
1930,49
3131,49
982,18
236,48
531,2
1046,2
582,47
992,31
2448,11
6,0
3159,23
1723,21
500,14
1224,45
1129,36
835,4
439,4
1881,49
610,2
2000,6
207,26
2388,2
2702,49
2784,2
1574,14
1393,2
1802,21
3299,39
681,31
2356,49
1489,55
912,43
107,24
2315,17
2232,19
2694,50
3250,2
1344,2
948,2
1216,45
1585,28
1531,57
2141,17
791,18
1911,49
2026,36
2394,17
2957,51
2908,9
2049,19
875,17
3009,61
3001,57
1423,2
1027,2
2167,11
3201,2
521,50
815,2
2345,17
860,10
2631,2
2859,9
2380,11
2983,44
955,18
766,2
370,2
88,24
598,9
2464,10
3052,31
1844,36
2810,9
1399,31
863,20
1250,51
372,48
2498,2
1566,28
392,26
3291,53
248,12
772,18
1578,2
1892,49
1974,2
2113,17
2990,61
970,2
847,48
3048,2
3182,2
2786,2
1657,2
923,43
742,31
534,2
1740,36
3162,23
2840,9
168,24
484,1
1235,49
2012,6
1608,2
1742,2
1136,43
1364,50
2391,2
1396,2
1000,2
1805,21
3113,23
328,18
1546,26
1492,55
1821,2
2412,61
430,2
2678,31
1524,44
2604,2
1079,2
2919,14
513,36
1756,21
311,50
1914,49
3174,11
3079,2
2683,2
31,32
555,38
1634,31
2367,31
1426,2
889,63
2159,2
2421,2
358,18
1164,2
2527,20
3298,46
2523,49
1648,51
1185,61
1828,18
2634,2
2580,31
2740,20
1377,2
2174,17
3021,2
98,63
90,59
373,2
1767,44
552,4
376,44
1456,2
691,19
388,18
1194,2
3234,2
2334,11
1569,28
573,63
775,18
1895,49
1337,50
1592,11
2664,2
147,40
1550,14
1615,31
3267,35
1816,21
3051,2
2370,49
546,51
3115,23
2757,49
2823,31
2843,9
58,4
1500,49
1579,50
2364,11
322,50
2321,49
1925,49
616,2
1367,50
1580,14
3023,61
1003,2
1091,2
1824,2
2138,49
3145,23
23,18
567,2
398,44
2873,9
2241,61
516,36
744,43
3032,2
2037,2
1775,2
109,63
611,44
726,31
623,18
1429,2
18,24
1858,36
3146,23
554,4
3245,2
1211,45
2250,2
1854,2
1161,44
2637,2
2743,20
2903,9
1246,2
2252,11
1561,14
1466,42
984,2
1789,21
1299,14
2481,20
2306,18
1005,61
1459,2
694,19
2192,2
203,47
391,18
2280,2
1146,36
778,18
1898,49
3063,2
223,61
1618,31
853,48
1450,38
281,2
2027,50
1462,49
1977,49
1560,26
3191,44
3142,2
2618,2
2222,2
2564,31
1770,21
2043,30
1876,2
2190,49
1928,49
2243,61
619,2
234,48
2697,2
1583,51
2435,2
3313,5
1440,2
1044,2
1271,44
990,31
1178,2
1635,61
2446,11
3157,23
1021,18
2529,45
1879,49
656,42
1391,2
2188,17
2047,41
3035,2
0,2
991,31
1487,55
3099,23
387,2
910,43
2386,1
3069,31
3309,12
3248,2
2119,2
2830,14
1857,2
265,12
789,18
1909,49
808,31
2906,9
2999,57
70,38
245,39
250,5
1002,18
1075,2
2204,2
382,44
2427,10
1086,17
394,18
2857,9
284,3
1244,45
2552,47
2606,18
892,2
630,2
2670,2
2936,9
1621,31
1594,14
2073,48
1032,18
1838,2
286,48
3091,31
581,2
1378,17
142,40
1545,14
1628,48
1251,61
1705,2
2752,49
2449,11
3160,23
187,47
993,31
803,50
1978,17
964,4
1078,26
1024,18
873,2
2517,2
2651,2
1449,18
1656,2
1260,2
2400,11
3111,23
3,2
2612,10
747,11
1343,36
1490,55
435,4
913,43
2730,2
132,3
1112,23
1077,2
3147,61
1860,2
2562,45
1912,49
2775,9
131,43
2909,9
2815,2
1424,2
3141,23
73,38
253,5
1991,49
359,23
1707,61
2022,36
2337,48
2894,2
2075,48
1503,2
2860,9
389,51
2494,31
1586,36
895,2
1942,49
550,4
750,29
3327,5
165,13
689,19
446,32
1108,2
1672,44
658,31
773,18
1943,49
2137,0
3049,2
1920,2
2422,20
1658,2
1623,44
3017,49
401,2
1312,2
252,22
2365,43
2452,11
3163,23
833,4
1228,45
1871,2
3230,49
1365,50
2654,2
229,11
134,39
1659,2
1973,49
1806,21
355,7
146,13
395,43
312,45
1278,18
3326,22
1444,50
2733,2
2679,31
2867,2
1738,2
1342,2
2273,17
220,47
2816,36
514,36
1520,45
848,61
1915,49
1308,45
2912,9
2630,31
1293,2
2253,44
2967,61
3262,15
2897,2
38,48
2635,2
969,63
719,31
115,2
1787,21
2060,30
2980,36
510,43
1945,49
2808,9
91,59
2714,2
270,61
753,29
1457,2
201,47
1604,21
1642,47
2608,20
2735,61
420,5
1144,36
1896,49
1670,2
1683,21
100,0
327,42
1616,31
1817,21
843,44
2025,50
1975,49
1062,2
1558,26
845,4
3295,25
2690,31
1326,48
949,61
1064,48
2010,6
2922,8
2827,36
1141,2
1874,2
1684,21
442,1
879,2
617,2
11,43
1976,49
1700,2
1069,19
1269,44
2074,63
2557,31
3082,2
1354,2
1019,18
1825,2
2526,49
2926,19
1904,2
57,51
1714,21
2982,36
2687,2
176,8
1692,2
1725,36
624,18
2093,17
19,24
930,61
817,4
1122,2
1713,61
672,31
2766,2
1652,51
523,51
2610,20
2052,21
1247,2
118,2
205,7
1562,14
1957,49
170,49
2538,31
1565,19
1428,50
2307,18
2945,9
642,44
3059,31
266,22
380,44
426,11
2425,10
2611,20
2120,48
2489,31
1543,36
2140,26
3192,2
1695,21
890,2
2668,2
2290,50
1600,18
544,2
1673,2
417,47
1033,50
2374,49
346,23
669,2
3143,2
2747,2
2324,48
1094,2
1321,44
422,18
2234,11
810,14
2044,30
3164,61
1573,36
854,20
1929,49
1188,45
2698,2
3040,31
2294,61
1307,2
2246,21
1441,2
2447,11
3263,39
1284,18
1022,18
1095,2
645,31
1724,61
3173,2
489,49
1124,2
1298,38
1317,51
2169,2
2565,2
2920,50
2303,2
2658,50
475,1
1959,49
2347,45
105,59
433,4
171,4
787,7
1994,6
1134,51
2516,2
1125,2
2085,44
2131,11
675,31
2265,11
467,2
1189,23
2907,9
162,40
1515,44
133,13
1830,19
1481,51
2541,31
71,38
185,23
1265,18
942,2
251,5
2688,50
1076,2
907,44
216,47
1873,17
2020,36
2335,48
2428,10
2951,51
2055,30
2492,31
116,45
705,31
1329,38
1542,2
748,29
2715,45
2088,63
2853,9
1135,29
3315,40
1563,61
3012,2
1106,2
937,44
2112,11
247,12
2750,2
1084,63
2078,18
3241,11
2458,10
1537,45
1442,36
2153,48
1576,36
2314,2
3225,2
1191,45
143,39
2230,8
295,24
2107,17
315,2
1275,44
1362,49
2450,11
965,4
2104,48
1131,36
231,8
451,48
537,51
3288,63
736,31
528,2
1092,44
1261,2
478,1
1229,49
15,11
1962,49
3324,22
1491,55
832,4
2362,19
2731,2
174,4
1340,2
2519,2
1055,18
2175,49
2384,43
678,31
1757,61
3206,2
2387,48
2548,2
2776,9
3078,2
1553,2
1526,48
558,2
1518,44
2202,2
1256,44
2544,31
2732,2
74,38
302,45
945,2
3259,13
2761,2
2988,44
632,36
2076,48
2415,2
113,2
1301,51
2549,2
883,63
2058,30
352,18
1158,2
1473,14
1701,21
257,15
2806,9
3308,27
1993,49
751,29
1179,61
2628,2
166,13
2943,14
2762,2
2472,20
1371,2
975,2
2331,44
2500,2
1109,2
713,2
2115,11
2639,17
2461,10
850,7
85,24
192,7
2807,9
14,0
738,31
1249,18
3018,49
306,28
298,24
2244,17
235,4
3045,2
1139,2
2669,17
3179,2
2279,11
540,51
3231,49
2814,26
2323,17
458,18
396,43
2837,9
857,23
2615,45
158,22
481,1
956,2
2996,2
1090,2
1654,44
1445,50
2680,31
1625,17
1039,36
66,24
690,31
800,19
3136,18
538,19
1281,63
885,63
1952,2
1294,2
2696,11
2091,17
77,38
2605,9
511,1
2126,11
583,26
2992,9
2502,2
720,31
2377,1
886,63
1852,36
2061,30
33,4
1790,61
462,1
1213,49
1205,45
3204,44
1070,0
816,4
2305,18
754,29
1324,2
1552,9
2946,14
67,2
2475,20
2609,20
393,23
3124,57
662,31
3190,2
2371,48
351,26
2582,2
2186,2
2896,49
63,4
291,11
2238,49
492,1
1338,21
2372,49
2426,20
239,49
3090,36
1151,51
2923,8
1404,2
1142,2
746,2
692,31
880,2
2577,45
2797,48
2790,9
1532,44
1270,44
55,4
3261,39
316,45
1355,2
590,19
959,2
1764,21
1093,2
2139,47
1448,50
643,31
2327,18
666,14
3033,31
2563,2
1172,2
776,2
2656,50
722,31
1715,21
1559,2
3002,49
931,61
608,45
818,4
2588,31
2971,61
2514,2
1385,2
962,48
3029,2
2148,24
2995,9
296,44
3093,23
904,43
172,8
119,2
2064,30
1855,36
2197,2
2821,9
1479,14
3242,2
1745,21
2308,18
1327,2
198,2
1292,44
2949,14
2478,20
2603,51
3193,2
1696,21
562,55
636,4
354,26
2198,2
2505,10
1988,49
2851,9
871,23
2429,20
932,2
1238,45
2748,2
1753,2
2456,10
677,14
2402,2
1060,44
2508,20
2045,30
1145,2
9,0
3223,2
1504,57
783,31
1704,2
2561,31
2930,14
2143,43
425,63
1410,49
596,61
535,51
1387,2
1783,2
1379,61
983,61
526,2
130,2
103,48
2566,2
1866,36
1061,17
3154,23
1718,21
476,1
2401,51
13,11
1219,45
2191,61
2645,2
2779,2
2383,2
2214,44
745,45
1388,2
3105,23
3306,13
2132,11
676,31
2385,48
1484,55
2405,26
699,14
2596,2
179,15
2200,2
2542,31
1938,2
2689,50
186,23
1339,2
1748,21
2708,63
1906,49
2021,36
798,29
2952,51
494,26
2621,31
2809,2
1418,2
350,18
3196,2
1330,38
2296,11
2172,61
855,10
2626,2
183,26
1778,21
973,2
1107,2
280,44
761,2
1325,44
707,31
2459,10
2805,9
1414,9
3226,2
440,32
2366,47
1675,50
2231,2
2554,18
2964,2
767,18
1887,49
1311,2
2933,14
2287,19
139,40
213,26
254,27
2462,20
1279,49
3043,2
2989,31
163,25
3177,2
980,18
1786,2
2100,49
3107,23
918,43
737,31
529,2
2835,9
50,4
2613,45
1230,49
3256,2
2007,6
1603,2
1737,2
2700,49
1277,17
1572,14
3015,61
3007,57
3207,2
568,51
2407,61
2777,9
1581,19
1950,2
2599,2
933,63
2545,31
288,33
2865,9
1751,21
509,1
340,43
3260,13
2024,36
2339,48
3008,57
3169,11
967,61
2812,2
2416,2
2154,2
2059,30
1850,36
3138,23
353,18
3293,46
460,1
3237,2
1203,45
2039,51
752,29
2891,2
2629,2
2233,2
2206,48
2944,14
3319,40
1372,2
976,2
1781,21
3290,13
2116,11
1939,49
2282,43
86,24
683,14
1762,44
1451,2
3229,2
739,31
770,18
844,4
1272,36
1890,49
299,24
2008,41
2009,6
2793,2
1664,2
1610,31
2343,31
1402,2
3046,2
1140,2
326,14
2185,2
2103,49
3110,23
921,43
740,31
2872,2
858,23
2965,50
1810,61
482,1
2616,45
