ques,skill
15543,34
7126,38
11649,7
7956,7
12538,105
2197,61
7419,31
11808,0
11913,53
11813,115
13630,74
6343,43
3671,95
11725,2
13442,23
1852,26
3442,6
8858,44
14259,16
7421,77
7077,38
9157,111
11306,18
12049,62
12090,100
14523,62
5579,61
4201,31
7255,44
8215,86
133,117
15620,109
5771,2
3763,34
10587,38
13801,77
14338,16
1803,26
15573,34
5559,82
11679,7
6398,100
545,61
7028,38
9571,101
11436,20
12537,38
13960,70
3101,63
2086,85
4818,84
5355,23
4837,97
10145,107
7206,44
6158,118
965,95
10608,97
5814,79
10998,23
11755,2
10915,25
3076,6
10519,25
7706,101
14289,16
12778,100
6028,8
12797,113
2731,8
4770,43
7285,44
7400,31
10719,86
15691,110
2229,26
12905,60
5589,82
9455,47
14622,81
12729,100
575,61
11287,18
4105,40
14198,19
5244,84
7498,44
10175,107
7236,44
290,77
4605,97
155,118
1650,26
7736,101
14701,81
11660,7
12620,49
14277,19
3344,63
11503,23
4142,43
4557,56
4276,43
7449,44
5470,23
5074,23
7187,44
14978,66
10561,35
13178,47
8668,17
11144,90
13298,112
2654,30
11799,21
12060,62
10422,105
14214,84
10205,107
7266,44
8226,86
7808,98
14172,87
5686,28
6250,70
6305,6
4290,62
4992,105
3591,61
1571,2
2832,9
5965,86
6662,14
4587,56
8439,86
5500,23
10156,107
9853,69
12115,119
13590,112
12946,47
1363,9
7717,101
3367,23
6044,86
4547,105
2601,32
7062,106
4579,57
8269,25
3429,120
9348,18
13159,47
1180,9
7052,61
3279,95
8587,105
5995,86
3813,2
8469,86
8945,15
14153,87
3656,18
13776,100
14769,90
3735,82
11319,40
2700,95
6525,22
8445,106
8605,95
9582,77
13489,43
12911,66
13670,118
7140,66
13494,121
2575,100
2790,25
7038,18
14982,90
2432,51
11826,29
7564,64
6022,81
12872,74
8658,106
12013,84
3584,34
12147,84
2651,95
7455,77
12945,64
10653,108
5419,47
15061,90
1929,110
13806,100
14799,90
6101,81
5960,105
8737,106
6321,84
9012,82
6851,84
2663,105
8635,95
12245,97
6293,22
12957,74
14454,55
4782,106
10926,122
2605,100
2261,61
2302,62
10824,111
1603,61
11434,40
8688,106
3614,34
2681,95
7485,77
2975,47
1638,18
12732,77
13374,69
4590,57
10944,112
4213,70
4724,20
8387,114
682,95
1835,74
816,95
9699,86
12390,84
7436,77
10851,69
8958,88
13292,121
5460,61
11773,115
14505,114
1170,34
633,95
1726,23
1927,13
8718,106
8456,106
2047,78
9108,32
13924,68
13547,118
3005,47
1422,26
12050,100
15440,99
5420,110
13505,121
2440,9
14042,60
712,95
249,105
6751,95
1,3
14440,106
8509,117
6,118
4495,25
8669,106
10804,115
10821,18
2956,47
10881,69
12135,100
11698,62
3833,91
5490,61
4127,43
663,95
12528,31
8486,106
9680,86
1452,26
4707,66
10698,69
12926,40
14500,12
7043,95
152,64
12392,106
876,95
5138,23
6203,118
1151,34
8699,106
416,110
1665,26
1269,26
2028,78
2986,47
1403,26
6417,47
7917,70
9529,38
13896,19
3225,63
11320,8
13037,29
8398,114
9432,105
11700,0
12605,106
693,95
12343,106
3499,43
8752,117
12660,42
11121,64
1102,34
5758,118
8201,14
2282,79
8683,17
13521,78
10862,69
5471,61
12422,106
4516,97
5168,23
12556,106
8120,25
5575,118
6232,122
1433,26
3210,61
12907,40
9316,51
5119,23
8333,25
1132,34
6445,122
4640,25
7840,92
12188,60
7678,30
8786,7
10966,18
10374,106
13106,105
3206,63
5198,23
4138,43
14217,87
11204,75
11290,78
4399,47
7613,86
15698,97
9330,70
6658,122
1028,61
5321,93
799,9
2877,9
8386,9
2978,61
10325,106
12634,2
12403,106
5149,23
12160,119
7108,35
5272,93
1796,91
3057,61
3453,61
13136,105
3150,23
13893,84
14082,20
4390,119
12093,65
5766,76
13388,97
2932,66
11977,119
9360,70
3985,70
6688,122
1091,9
12111,119
3286,69
6164,122
7821,92
10355,106
5644,86
12884,5
12925,43
14064,87
15198,16
32,79
9674,122
9311,70
6639,122
6243,122
1009,61
5857,86
7238,121
507,79
2876,26
13657,113
2719,79
11315,40
960,61
382,84
2099,105
6574,77
10385,106
3131,23
13351,43
6942,15
7767,98
7189,121
10618,48
4806,47
14550,101
9341,70
6669,122
1039,61
11173,41
13212,113
11467,30
5763,20
3366,11
4923,43
1250,15
13330,105
14901,35
518,66
7268,121
7397,6
10234,58
10470,69
2892,91
3649,70
14380,40
132,30
9655,122
266,30
7358,51
12088,84
14641,81
16,84
6317,84
9531,86
12624,64
5838,86
6972,15
7797,98
7219,121
2857,26
226,79
2843,91
1902,62
11282,105
1915,1
14059,106
3140,85
9482,86
11254,43
4521,120
7170,121
8383,114
544,95
14671,81
678,95
34,30
6825,86
1737,116
5529,95
13050,64
3528,86
14882,35
4527,56
12015,77
4546,69
7249,121
6282,103
8021,112
7295,8
1166,34
489,21
6716,35
10049,25
5002,56
8216,58
4028,79
9410,38
10967,70
2027,70
9074,89
9129,25
11922,34
14484,110
7200,121
11011,113
14225,115
2783,53
1883,62
4761,115
7631,78
7846,3
3558,86
14912,35
6610,26
9227,38
4502,120
1918,19
10481,69
4113,79
13318,121
8051,112
9185,41
13956,112
5527,62
6922,32
6526,32
14014,53
7068,86
11853,55
15565,34
5249,54
6806,86
11099,118
12233,47
14831,46
14965,46
2838,110
9574,38
8600,61
13438,122
8443,114
3511,95
3093,107
1725,11
770,47
15379,36
6917,38
14328,106
2908,61
332,50
4143,79
4606,69
4740,69
2665,74
2310,112
2706,112
3724,95
7098,86
11828,119
7232,86
5661,119
4742,78
6836,86
2144,79
9527,47
6478,112
7130,38
8410,58
14472,5
11128,122
8630,61
8368,61
2201,61
14097,64
13634,74
15492,34
3720,97
2095,79
13972,69
598,61
288,101
6621,53
15624,109
9240,111
6898,38
313,50
8835,62
7338,44
13664,74
7296,84
2544,26
7778,87
5818,79
7079,86
8796,70
9830,98
3985,112
15064,122
6877,100
11008,70
4915,19
8611,61
11343,23
6637,118
7289,44
11783,66
2724,78
2757,26
13835,77
12264,110
12398,110
841,61
12599,100
9490,114
11135,30
12618,113
14330,19
13039,106
13851,21
2698,62
7502,44
13407,44
1858,85
4635,86
6192,118
12216,69
3432,57
7747,77
14571,81
12625,8
14705,81
15605,109
6489,112
11926,7
15140,9
4188,40
11373,23
13486,44
12990,106
7319,44
12787,43
156,79
13182,47
10651,38
5799,79
1215,100
12428,110
3006,70
11743,7
609,61
5017,43
5741,74
10471,107
7270,44
5732,25
13175,44
13261,47
5878,79
11227,90
14996,122
10767,105
6271,10
4996,105
63,9
15170,9
15390,12
4980,97
7349,44
4536,120
7313,121
8925,89
10026,107
13078,47
4690,35
5829,79
11715,29
14686,81
639,61
10773,41
14128,19
15121,9
4436,118
5759,20
13467,44
14468,87
7300,44
8260,86
9936,69
9614,18
1312,9
9352,18
12525,19
1446,9
1050,9
8653,17
10632,38
12263,19
13163,47
5764,34
8240,107
14723,84
8575,97
6696,14
4566,120
14304,100
13423,122
7793,98
3564,81
3660,18
9887,69
1659,9
1263,9
6497,70
7636,114
7751,101
12342,19
14601,94
14716,81
15151,9
4977,105
5715,34
11620,34
4815,43
14278,84
15371,12
9966,69
3799,69
12973,7
8066,112
11058,38
2436,51
1080,9
12876,74
400,21
3473,84
8867,97
11814,21
14973,87
4813,118
5028,43
6726,14
10900,95
4073,79
11571,34
14584,46
14931,90
275,26
2240,112
9917,69
2374,112
3750,69
1293,9
4025,8
9333,18
1427,9
12506,19
4331,51
9080,97
14429,108
3309,97
4611,105
5007,105
6182,35
10631,55
6421,88
14547,100
2871,100
3829,69
2265,61
1869,61
8096,112
9868,69
1244,9
6538,84
3382,23
5696,34
11601,34
9567,77
14961,90
5453,47
4875,70
9947,69
11344,112
13235,20
9363,18
11839,91
1839,74
7147,84
3697,34
6388,32
7549,64
12656,84
12857,74
6212,35
8251,107
13600,118
14459,108
15111,34
15507,34
5532,47
6707,14
10914,6
143,112
11194,60
2221,112
2295,61
11560,117
12735,84
12936,74
6601,32
4111,24
3574,85
7762,64
7385,77
3412,23
8722,106
6089,86
15444,99
13551,118
3009,47
9597,77
3133,113
15381,16
11011,60
4206,32
11640,2
14458,41
15537,34
7598,77
4499,25
15657,99
15261,99
14942,90
15076,90
11540,0
6848,30
11719,2
9666,32
3604,85
3678,34
6369,32
7415,77
7530,64
1718,26
6193,35
7811,77
3039,47
9151,111
9541,37
15474,99
8567,60
13935,121
10303,94
7364,31
3456,106
880,95
6026,43
8703,106
12358,110
1535,26
7366,77
6392,100
2674,70
1273,26
3995,91
14162,19
7921,70
8518,60
3229,63
2470,11
235,64
12475,106
5221,23
13810,62
14046,73
697,95
15518,34
1748,26
11390,69
13525,78
1486,26
1646,15
9356,112
15242,99
15316,48
2303,19
10333,94
4381,19
5038,23
11466,64
12426,106
4520,97
5217,25
9055,120
10263,35
7396,77
12723,100
9569,112
9388,37
4233,40
205,50
3259,63
11418,23
12505,106
8828,114
989,95
4599,97
4769,20
11734,0
727,95
14717,106
1778,26
7609,77
759,47
3918,113
6320,8
373,11
4927,84
5068,23
7107,95
940,95
5202,23
7181,44
12491,100
15297,48
8074,32
1888,19
5443,85
13946,84
8354,86
13123,47
14578,68
12203,47
49,8
7874,92
12618,60
11463,8
14421,84
4080,40
15376,48
1724,32
3240,63
12486,106
14117,87
1245,34
7711,101
9364,70
3693,8
1095,9
3175,82
3899,113
9367,112
5910,86
3191,63
5049,23
4531,97
5183,23
12671,7
15202,16
7046,61
2629,30
6247,122
12909,64
7761,43
6123,86
13170,105
5861,86
14147,87
7898,48
9073,15
14763,90
3429,56
10253,60
12407,119
14482,77
9394,70
7479,101
3929,113
7855,92
5257,93
9691,64
5940,86
12960,2
6074,86
403,24
6771,14
5475,23
10389,106
10788,111
12997,69
4676,47
15232,16
9607,70
9345,70
6236,84
1043,61
5336,93
102,32
12141,84
3476,23
8448,84
5891,86
4554,57
14177,87
1923,110
13136,120
14793,90
10238,58
3653,70
8367,95
12092,84
5287,93
20,84
6104,86
5364,47
13390,121
8457,25
10215,47
10993,112
12865,7
349,30
3071,95
3668,85
8420,106
11782,43
8554,106
233,84
1527,2
252,97
2547,95
2151,95
3447,86
5921,86
9209,37
1953,110
4919,47
15213,16
11247,113
1985,62
6374,31
10185,60
3521,8
548,95
5534,54
2425,105
6131,81
50,84
7430,77
15014,35
13899,119
6134,86
5000,120
8952,88
3054,47
5872,86
10624,107
8167,47
12099,100
7253,121
9722,6
13158,121
10219,58
13874,62
12633,7
12492,31
14774,90
15426,16
9102,32
4814,115
9382,86
5342,5
12178,100
7145,66
15306,99
14863,24
6957,15
1635,70
13008,69
243,105
196,30
578,95
974,95
6643,84
8663,106
8401,106
113,32
13924,4
15044,35
7635,78
12767,91
4506,120
1922,19
2519,9
2123,9
6994,18
7283,121
7357,70
7412,6
13625,122
1966,62
11536,0
1066,34
15097,83
1979,1
9412,86
14835,46
6332,47
15432,36
4981,120
8933,88
13704,122
2061,70
7496,121
3778,91
9141,37
11266,112
13838,122
11441,113
608,95
11298,64
4930,74
742,95
14042,117
14754,94
9465,97
6411,47
9625,86
3854,86
11182,118
10034,25
5409,8
9261,38
2912,61
4729,20
9426,105
3493,43
821,95
5083,23
6519,31
1230,34
7102,86
5283,54
9576,86
11133,118
1596,91
5388,70
3313,112
4092,79
2991,61
5608,110
4226,79
5360,8
9212,38
8634,61
11131,8
1903,19
2500,9
13868,122
6598,31
8081,114
11168,75
15039,118
4206,100
10064,25
10124,39
4043,79
1982,19
5719,62
2042,70
15256,52
13778,84
13819,122
3423,105
5113,23
13139,97
11862,119
9446,97
14317,69
8780,7
5786,8
1498,91
13898,122
1933,19
3636,105
6382,2
12810,43
7607,86
11096,64
6390,122
14846,46
1577,91
6981,38
9717,38
3335,113
314,11
15286,52
4878,18
10115,84
11149,75
478,119
4344,47
12195,120
12269,106
14363,77
12007,69
6207,122
15477,34
1528,91
2185,95
2560,9
2386,85
6720,118
12840,43
13363,84
2284,74
2981,2
13418,20
10589,88
12105,119
7669,38
11084,30
662,61
5607,19
6493,112
2740,61
10579,43
12791,43
7588,86
5931,79
12037,69
741,61
14189,18
875,61
4887,43
15267,52
6750,118
13789,84
4890,85
220,66
2870,26
2911,64
10096,47
11510,30
6188,122
9390,70
12511,110
12993,113
14605,81
11449,20
15174,9
5463,95
8199,95
15436,9
67,9
2166,95
4984,97
5540,86
7312,43
12821,43
4800,47
14244,75
9827,7
190,79
2559,26
8068,26
13206,113
6998,112
905,61
643,61
11400,20
10109,107
13994,85
8182,47
6652,118
4355,47
14635,81
10466,115
722,61
144,84
9117,32
856,61
2513,31
10980,107
2196,95
2337,34
2075,34
4570,120
7347,121
13252,121
2589,26
3332,70
453,21
539,61
11430,20
14558,19
10752,105
8436,21
11886,34
15155,9
10139,107
2147,95
6548,118
13501,44
7164,121
9970,69
7298,121
2406,26
6613,18
7700,101
12559,19
11062,38
14665,81
15713,7
8274,107
15454,12
4521,56
13318,44
4077,79
4600,120
8015,112
1862,47
2244,112
4338,120
13020,121
4833,62
14616,81
227,95
8353,107
4750,64
9863,64
14450,48
284,77
2323,112
7108,118
4551,120
7328,121
7457,6
10000,69
201,79
2818,91
7730,101
12020,91
13228,6
12286,18
2614,32
8304,107
13997,112
4928,43
10733,105
4988,57
8799,86
4107,79
14382,35
8045,112
3986,18
10213,69
11247,60
9951,69
12642,30
6520,32
1327,9
6561,70
14646,81
12526,84
3063,43
6800,86
5740,106
12383,35
14463,108
7892,55
8852,97
9650,77
4502,56
784,26
6711,14
9306,38
4581,120
13566,122
14017,58
7036,70
7996,112
2225,112
10131,121
13202,74
12739,84
15590,34
7651,114
14817,84
6355,86
3160,97
11635,34
14197,110
11043,122
15647,16
11277,60
2304,112
6607,78
9981,69
6987,70
8663,53
10858,113
6830,86
5374,106
15541,34
7762,66
8285,107
4611,120
5122,70
8026,112
5865,114
13628,74
3072,105
6897,32
4266,85
8977,105
11594,117
11723,2
9794,98
2125,2
7815,77
12769,84
13847,118
4907,118
7075,38
9155,111
14361,110
13924,72
4939,70
14521,62
15025,90
14185,113
1387,9
3285,105
3500,30
15285,52
3761,34
12720,84
15571,34
1801,26
7632,77
8315,107
9148,108
9745,98
12577,35
7026,38
13958,70
307,50
12535,38
13710,5
10265,70
12304,105
2474,11
12042,105
11753,2
9700,32
11890,7
2729,8
7935,7
4385,19
10717,86
362,107
6845,84
11575,117
515,120
1831,26
7662,77
4668,78
7400,77
9398,111
9453,47
573,61
13305,77
4700,30
7477,31
15462,104
7234,44
13280,20
4501,86
11466,66
3742,34
7479,77
14740,119
15552,34
1782,26
12558,35
3081,59
2685,59
5376,20
524,61
7007,38
9390,112
9825,40
11415,20
348,64
7313,44
12065,102
4274,43
1602,95
6514,105
12722,106
7185,44
7964,11
10559,35
366,118
15688,43
14268,16
10517,38
1081,100
11912,8
9763,101
12495,100
4730,30
10420,105
14212,84
3293,63
7264,44
11512,74
1023,95
7806,98
15712,107
7704,87
10992,38
7583,26
40,69
1812,26
11991,8
12574,100
9379,111
12593,113
9580,101
554,61
12708,100
14043,19
14425,84
4084,40
15380,48
5498,23
5102,23
7215,44
10154,107
4785,87
12944,47
1268,47
10528,25
2407,91
7715,101
4265,51
14680,81
13895,40
4545,105
4779,43
7060,106
4536,56
10105,107
5053,23
7166,44
12064,119
13303,101
584,61
13651,30
5132,23
4072,43
1541,34
299,77
7245,44
9077,15
12520,106
13370,47
7745,101
11074,90
5549,82
3933,113
442,62
4575,105
9695,64
12909,66
13487,43
4566,56
4607,57
3762,2
6264,64
2788,25
5479,23
6775,14
10135,107
4565,97
10570,35
3068,79
6576,70
10693,105
3984,51
3480,23
4526,105
10431,105
5794,34
5417,47
4558,57
13818,35
4663,110
11669,91
14181,87
14797,90
12500,19
13561,113
9621,7
12365,60
8633,95
9505,61
14436,84
5974,86
14279,100
2603,100
8090,112
9862,69
15010,90
3299,69
1238,9
12740,122
6666,84
6449,86
6053,86
10461,105
1531,2
5012,119
4984,57
15089,90
15405,67
2769,25
12210,78
13170,120
2210,61
6129,81
9357,18
12686,7
13987,113
7543,64
4160,24
5366,95
99,86
6138,86
11532,99
7041,119
4539,57
11289,112
11650,91
14778,90
48,40
11328,40
12601,84
2709,95
8454,106
8614,95
9648,86
12224,97
13545,118
13941,118
13679,118
13935,44
7149,66
9243,37
9007,26
1987,110
13503,121
3341,79
14394,100
3979,70
10118,8
1219,9
200,30
8667,106
6251,84
13758,118
117,32
7464,77
13350,64
13873,105
2954,47
8986,88
9401,101
5428,47
2114,70
2401,100
3831,91
1938,110
11735,27
14808,90
4326,70
10157,84
661,95
11492,40
13063,7
6318,30
12631,84
559,84
8484,106
12254,97
14067,55
3033,47
13313,118
12528,77
2614,100
5231,112
7500,121
612,95
8697,106
4657,25
2690,95
8435,106
7494,77
13380,64
6520,100
367,35
2984,47
13440,78
13660,118
8512,60
14021,60
5518,61
4673,6
12980,93
13484,121
8396,114
12818,31
691,95
3497,43
825,95
8514,106
11119,64
8648,106
13519,78
1876,26
15236,99
13914,119
10860,69
2498,9
2995,61
8463,60
4891,84
904,95
12554,106
1179,34
3870,32
8567,117
4453,87
8727,106
17,43
2056,78
7524,77
12235,97
10677,69
14185,60
1986,19
9460,105
9694,43
2366,11
12586,31
258,105
855,95
5117,23
593,95
8678,106
12128,119
15662,99
4638,25
9476,86
10510,77
14321,69
1382,26
10964,18
14742,99
10628,69
12144,100
3204,63
8377,114
4136,43
3685,107
672,95
11202,75
5691,2
806,95
228,118
9791,97
11100,64
1709,91
5649,5
15217,99
5387,5
1581,91
10841,69
8265,58
14215,60
2976,61
11116,8
10020,105
13812,84
12401,106
885,95
11501,115
11179,64
1019,95
1160,34
10119,84
783,47
11762,119
12158,119
12373,44
2037,78
1674,26
6211,122
1412,26
10994,18
5746,59
3652,51
11709,0
4166,43
415,65
10508,44
13923,73
3508,43
2930,66
5098,23
11034,90
10593,88
14578,4
15101,45
1854,78
3893,113
7819,92
692,50
10945,18
13696,30
494,65
2744,61
3185,63
12923,43
14002,73
9392,105
14819,66
5760,78
4263,97
8129,25
7592,86
14411,12
3423,120
13500,91
745,61
6576,112
12916,40
15271,52
13793,84
5128,23
14013,87
1537,34
463,119
6454,122
11877,119
958,61
2615,31
3661,113
5251,93
3129,23
6604,66
8784,77
396,65
5790,78
11213,75
12595,106
14092,87
8293,25
9339,70
6667,122
9380,108
6868,112
13210,113
15303,26
1458,91
7685,105
2566,31
13961,18
3364,11
5885,86
13823,84
10232,58
15177,16
12169,119
8110,25
12780,7
13800,100
9653,122
6222,122
5281,93
14,84
6315,84
10253,117
6098,86
12325,106
11023,35
15679,119
6735,118
7217,121
9022,26
68,91
2841,91
9369,70
11537,27
6435,122
7106,61
2145,95
3138,85
4855,106
2279,95
10364,106
13096,105
14191,106
4216,119
14073,87
10396,58
7168,121
5946,79
9320,70
6648,122
13453,113
15366,9
44,84
13381,66
8499,106
13697,64
6881,64
5866,86
2767,34
12637,84
14880,35
5208,86
7247,121
7376,6
4864,47
10683,7
5617,25
3864,81
10292,122
6415,5
5345,91
4326,112
14720,19
1943,1
4549,120
12969,121
3461,78
7198,121
7776,98
10968,112
12781,70
2822,91
9350,70
1881,62
10962,38
13221,113
8529,106
7844,3
3119,85
3556,86
4750,66
4932,43
6911,64
4459,119
10185,117
7406,6
14910,35
10243,58
8820,26
10055,7
9664,122
11340,105
6147,82
5784,30
14650,81
25,84
14433,83
11097,118
2936,85
8882,86
8620,86
4506,56
7228,121
7536,8
3523,30
736,95
1911,62
2012,114
2945,53
3091,107
3292,97
5405,118
10895,105
13251,113
14821,84
15377,36
4747,118
4981,56
14604,86
4530,120
5523,110
8329,58
11180,8
13475,6
7119,70
13984,112
2308,112
7179,121
10085,7
6494,18
6554,32
8431,42
6834,86
3639,97
1342,26
10951,121
14891,35
13671,118
1897,19
2494,9
4615,120
4830,8
7521,6
8030,112
12975,70
55,3
779,34
1954,1
6725,35
6422,34
4171,79
6903,78
12693,91
11356,62
2338,112
1653,9
3551,105
9456,105
9060,105
3912,84
1892,62
13031,86
6864,86
3669,97
3273,97
3925,23
8319,107
1492,91
6896,38
4585,69
2524,9
4122,79
12785,30
8060,112
2771,115
4722,74
11628,117
6755,35
6815,86
3620,97
6975,38
11108,118
9652,101
8155,120
12242,47
11006,70
15309,36
5235,70
13843,122
8609,61
2368,112
13581,122
12621,43
1683,9
13729,20
3319,105
6486,32
9645,98
6288,47
15388,36
6926,38
12278,91
2259,61
2715,112
13546,20
15365,52
13692,74
2773,53
3430,57
12824,35
13944,66
3870,100
6487,112
11924,7
2331,85
14208,75
3088,64
15724,106
61,117
11604,2
13643,74
15501,34
5797,79
12963,86
7696,77
13542,6
13981,69
371,50
11510,74
11188,60
1845,84
10207,107
14274,62
2736,26
14351,16
13814,77
